antecedents,consequents,support,confidence,lift
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.017223065250379362,0.4024822695035461,12.938332468431067
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.017223065250379362,0.5536585365853658,12.938332468431067
JUMBO BAG VINTAGE LEAF,JUMBO BAG APPLES,0.012860394537177541,0.42428035043804757,12.752599814762752
JUMBO BAG APPLES,JUMBO BAG VINTAGE LEAF,0.012860394537177541,0.38654503990877986,12.75259981476275
PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SPACEBOY,0.015326251896813354,0.4798099762470308,12.698585315132261
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN CIRCUS PARADE,0.015326251896813354,0.40562248995983935,12.698585315132261
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,0.0165402124430956,0.4377510040160643,12.556165904095165
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN SPACEBOY,0.0165402124430956,0.47442872687704035,12.556165904095165
SET OF 20 VINTAGE CHRISTMAS NAPKINS,60 CAKE CASES VINTAGE CHRISTMAS,0.01688163884673748,0.44768611670020114,12.383007383229069
60 CAKE CASES VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.01688163884673748,0.4669464847848898,12.383007383229069
ROUND SNACK BOXES SET OF4 WOODLAND,ROUND SNACK BOXES SET OF 4 FRUITS,0.01236722306525038,0.3760092272202999,12.191393886257202
ROUND SNACK BOXES SET OF 4 FRUITS,ROUND SNACK BOXES SET OF4 WOODLAND,0.01236722306525038,0.4009840098400984,12.1913938862572
HAND WARMER OWL DESIGN,HAND WARMER UNION JACK,0.01661608497723824,0.37791199309749784,12.163321291880393
HAND WARMER UNION JACK,HAND WARMER OWL DESIGN,0.01661608497723824,0.5347985347985348,12.163321291880393
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER UNION JACK,0.014719271623672231,0.3691722169362512,11.882026420561148
HAND WARMER UNION JACK,HAND WARMER SCOTTY DOG DESIGN,0.014719271623672231,0.47374847374847373,11.882026420561148
WOOD 2 DRAWER CABINET WHITE FINISH,WOOD S3 CABINET ANT WHITE FINISH,0.01908194233687405,0.46189164370982555,11.843836311469845
WOOD S3 CABINET ANT WHITE FINISH,WOOD 2 DRAWER CABINET WHITE FINISH,0.01908194233687405,0.4892996108949416,11.843836311469845
JUMBO BAG ALPHABET,JUMBO BAG VINTAGE LEAF,0.011229135053110774,0.354916067146283,11.709120813486884
JUMBO BAG VINTAGE LEAF,JUMBO BAG ALPHABET,0.011229135053110774,0.3704630788485607,11.709120813486884
PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN WOODLAND ANIMALS,0.012974203338391502,0.4061757719714964,11.65048242564597
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN CIRCUS PARADE,0.012974203338391502,0.3721436343852013,11.650482425645968
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN SKULLS,0.014871016691957511,0.42655059847660504,11.639620885966158
PLASTERS IN TIN SKULLS,PLASTERS IN TIN WOODLAND ANIMALS,0.014871016691957511,0.4057971014492754,11.639620885966158
PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX,0.023710166919575115,0.5808550185873605,11.555727011292698
PINK CREAM FELT CRAFT TRINKET BOX,PINK BLUE FELT CRAFT TRINKET BOX,0.023710166919575115,0.4716981132075472,11.555727011292698
HAND WARMER UNION JACK,HAND WARMER BIRD DESIGN,0.013391502276176024,0.431013431013431,11.138739256386314
HAND WARMER BIRD DESIGN,HAND WARMER UNION JACK,0.013391502276176024,0.346078431372549,11.138739256386314
SINGLE HEART ZINC TLIGHT HOLDER,HANGING HEART ZINC TLIGHT HOLDER,0.024620637329286797,0.603720930232558,11.128729874776385
HANGING HEART ZINC TLIGHT HOLDER,SINGLE HEART ZINC TLIGHT HOLDER,0.024620637329286797,0.4538461538461538,11.128729874776385
JAM MAKING SET WITH JARS,JAM MAKING SET PRINTED,0.016426403641881637,0.42744323790720623,11.100890395304392
JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,0.016426403641881637,0.42660098522167483,11.100890395304392
SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS,0.018133535660091047,0.4746772591857001,11.063211805601286
SET OF 3 HEART COOKIE CUTTERS,SET OF 3 BUTTERFLY COOKIE CUTTERS,0.018133535660091047,0.42263483642793986,11.063211805601284
CHARLOTTE BAG PINK POLKADOT,WOODLAND CHARLOTTE BAG,0.016047040971168436,0.5190184049079755,10.953823181244383
WOODLAND CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.016047040971168436,0.3386709367493995,10.953823181244381
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.016122913505311077,0.3343823760818253,10.815115869345908
CHARLOTTE BAG PINK POLKADOT,STRAWBERRY CHARLOTTE BAG,0.016122913505311077,0.5214723926380368,10.815115869345908
PLASTERS IN TIN VINTAGE PAISLEY,PLASTERS IN TIN WOODLAND ANIMALS,0.013960546282245826,0.3766632548618219,10.803964524654653
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN VINTAGE PAISLEY,0.013960546282245826,0.40043525571273125,10.803964524654653
LUNCH BAG APPLE DESIGN,JUMBO BAG APPLES,0.012291350531107739,0.3584070796460177,10.772646088334124
JUMBO BAG APPLES,LUNCH BAG APPLE DESIGN,0.012291350531107739,0.3694412770809578,10.772646088334124
HEART IVORY TRELLIS LARGE,HEART IVORY TRELLIS SMALL,0.011418816388467375,0.3790931989924433,10.676171715214537
HEART IVORY TRELLIS SMALL,HEART IVORY TRELLIS LARGE,0.011418816388467375,0.32158119658119655,10.676171715214535
STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.024165402124430958,0.5011801730920535,10.577349369660954
WOODLAND CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.024165402124430958,0.5100080064051241,10.577349369660952
PLASTERS IN TIN SKULLS,PLASTERS IN TIN SPACEBOY,0.01460546282245827,0.39855072463768115,10.547989057679995
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN SKULLS,0.01460546282245827,0.3865461847389558,10.547989057679995
PLASTERS IN TIN VINTAGE PAISLEY,PLASTERS IN TIN SPACEBOY,0.014264036418816389,0.38485158648925283,10.18542953800874
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN VINTAGE PAISLEY,0.014264036418816389,0.3775100401606426,10.18542953800874
STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.020371775417298937,0.4225019669551534,10.18021192773112
RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.020371775417298937,0.49085923217550276,10.180211927731118
BAKING SET SPACEBOY DESIGN,BAKING SET 9 PIECE RETROSPOT,0.018361153262518966,0.6057571964956195,10.125402472812004
BAKING SET 9 PIECE RETROSPOT,BAKING SET SPACEBOY DESIGN,0.018361153262518966,0.30691185795814835,10.125402472812004
WOODLAND CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.028338391502276176,0.5980784627702163,10.080145958198786
CHARLOTTE BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG,0.028338391502276176,0.4776214833759591,10.080145958198786
HOT WATER BOTTLE I AM SO POORLY,CHOCOLATE HOT WATER BOTTLE,0.022496206373292867,0.6177083333333333,9.97720077614379
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.022496206373292867,0.3633578431372549,9.97720077614379
PLASTERS IN TIN SKULLS,PLASTERS IN TIN VINTAGE PAISLEY,0.013505311077389984,0.36853002070393376,9.943143649698767
PLASTERS IN TIN VINTAGE PAISLEY,PLASTERS IN TIN SKULLS,0.013505311077389984,0.36438075742067555,9.943143649698765
CHARLOTTE BAG SUKI DESIGN,CHARLOTTE BAG PINK POLKADOT,0.018019726858877087,0.30370843989769825,9.823011626629848
CHARLOTTE BAG PINK POLKADOT,CHARLOTTE BAG SUKI DESIGN,0.018019726858877087,0.5828220858895705,9.823011626629846
RED RETROSPOT CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.019044006069802732,0.4588665447897624,9.684325156651832
WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.019044006069802732,0.40192153722978385,9.68432515665183
PLASTERS IN TIN VINTAGE PAISLEY,PLASTERS IN TIN CIRCUS PARADE,0.011456752655538695,0.3091095189355169,9.677110355273426
PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN VINTAGE PAISLEY,0.011456752655538695,0.3586698337292161,9.677110355273426
3 STRIPEY MICE FELTCRAFT,FELTCRAFT BUTTERFLY HEARTS,0.013163884673748103,0.39476678043230945,9.65310977012586
FELTCRAFT BUTTERFLY HEARTS,3 STRIPEY MICE FELTCRAFT,0.013163884673748103,0.32189239332096475,9.65310977012586
HEART FILIGREE DOVE SMALL,HEART IVORY TRELLIS SMALL,0.010622154779969651,0.34063260340632606,9.593029301058499
VINTAGE HEADS AND TAILS CARD GAME,VINTAGE SNAP CARDS,0.028110773899848254,0.6253164556962025,9.440631026432932
VINTAGE SNAP CARDS,VINTAGE HEADS AND TAILS CARD GAME,0.028110773899848254,0.42439862542955326,9.440631026432932
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,0.01479514415781487,0.3341902313624679,9.421662565470218
PACK OF 60 SPACEBOY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.01479514415781487,0.4171122994652406,9.421662565470216
LUNCH BOX I LOVE LONDON,SPACEBOY LUNCH BOX,0.013467374810318665,0.3717277486910995,9.341032846041356
SPACEBOY LUNCH BOX,LUNCH BOX I LOVE LONDON,0.013467374810318665,0.338417540514776,9.341032846041356
CHICK GREY HOT WATER BOTTLE,FAWN BLUE HOT WATER BOTTLE,0.009597875569044007,0.31506849315068497,9.300342082253142
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.026479514415781488,0.5491738788355626,9.25589734405718
CHARLOTTE BAG SUKI DESIGN,STRAWBERRY CHARLOTTE BAG,0.026479514415781488,0.4462915601023018,9.25589734405718
DOLLY GIRL LUNCH BOX,LUNCH BOX I LOVE LONDON,0.013732928679817905,0.3336405529953917,9.209177986344004
LUNCH BOX I LOVE LONDON,DOLLY GIRL LUNCH BOX,0.013732928679817905,0.3790575916230366,9.209177986344004
SET20 RED SPOTTY PAPER NAPKINS,PACK OF 72 RETRO SPOT CAKE CASES,0.013012139605462823,0.4162621359223301,8.949975450989086
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.02515174506828528,0.4032846715328467,8.948302981149697
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.02515174506828528,0.5580808080808081,8.948302981149697
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.022003034901365705,0.37084398976982097,8.935509662095503
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.022003034901365705,0.5301645338208409,8.935509662095503
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,0.0375948406676783,0.4732569245463228,8.923499664550121
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,0.0375948406676783,0.7088698140200286,8.923499664550121
JUMBO BAG WOODLAND ANIMALS,JUMBO BAG TOYS,0.015212443095599394,0.33584589614740373,8.870639100646855
JUMBO BAG TOYS,JUMBO BAG WOODLAND ANIMALS,0.015212443095599394,0.40180360721442887,8.870639100646855
PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SKULLS,0.01031866464339909,0.3230403800475059,8.815056333387428
FELTCRAFT 6 FLOWER FRIENDS,FELTCRAFT BUTTERFLY HEARTS,0.017792109256449164,0.36049192928516527,8.814997454505527
FELTCRAFT BUTTERFLY HEARTS,FELTCRAFT 6 FLOWER FRIENDS,0.017792109256449164,0.43506493506493504,8.814997454505525
RED WOOLLY HOTTIE WHITE HEART,KNITTED UNION FLAG HOT WATER BOTTLE,0.013353566009104704,0.3271375464684015,8.781411125159943
KNITTED UNION FLAG HOT WATER BOTTLE,RED WOOLLY HOTTIE WHITE HEART,0.013353566009104704,0.3584521384928717,8.781411125159943
PACK OF 12 LONDON TISSUES,LUNCH BOX I LOVE LONDON,0.009066767830045524,0.31697612732095487,8.749204938408765
60 CAKE CASES VINTAGE CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.015933232169954476,0.4407135362014691,8.56094975259449
PAPER CHAIN KIT VINTAGE CHRISTMAS,60 CAKE CASES VINTAGE CHRISTMAS,0.015933232169954476,0.3095062638172439,8.56094975259449
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50S CHRISTMAS,0.031145675265553868,0.6050110537951363,8.433681321015227
PAPER CHAIN KIT 50S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.031145675265553868,0.4341618191433104,8.433681321015227
JUMBO BAG WOODLAND ANIMALS,JUMBO BAG OWLS,0.017716236722306523,0.3911222780569514,8.416312856801012
JUMBO BAG OWLS,JUMBO BAG WOODLAND ANIMALS,0.017716236722306523,0.38122448979591833,8.416312856801012
3 STRIPEY MICE FELTCRAFT,FELTCRAFT 6 FLOWER FRIENDS,0.013808801213960546,0.41410693970420936,8.390360438587978
SET OF 20 VINTAGE CHRISTMAS NAPKINS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0159711684370258,0.4235412474849095,8.227374564261027
PAPER CHAIN KIT VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.0159711684370258,0.3102431834929993,8.227374564261027
JUMBO BAG SCANDINAVIAN PAISLEY,JUMBO BAG PINK VINTAGE PAISLEY,0.01456752655538695,0.469437652811736,8.222177095094592
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.028338391502276176,0.5060975609756098,8.174467957914874
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.028338391502276176,0.45772058823529416,8.174467957914874
PACK OF 60 DINOSAUR CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.018133535660091047,0.4095972579263068,8.118032871381539
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.018133535660091047,0.3593984962406015,8.118032871381539
HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE TEA AND SYMPATHY,0.016312594840667678,0.44791666666666663,7.999378952122854
LUNCH BAG APPLE DESIGN,LUNCH BAG PINK POLKADOT,0.01232928679817906,0.3595132743362832,7.9770790500879
PACK OF 60 SPACEBOY CAKE CASES,PACK OF 72 SKULL CAKE CASES,0.01449165402124431,0.4085561497326203,7.965636173780969
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 72 SKULL CAKE CASES,0.017905918057663128,0.40445586975149966,7.885692845154979
PACK OF 72 SKULL CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.017905918057663128,0.34911242603550297,7.885692845154978
GIN TONIC DIET METAL SIGN,COOK WITH WINE METAL SIGN,0.02298937784522003,0.3927414128321452,7.789814629236529
COOK WITH WINE METAL SIGN,GIN TONIC DIET METAL SIGN,0.02298937784522003,0.45598194130925507,7.7898146292365285
CHOCOLATE THIS WAY METAL SIGN,HAND OVER THE CHOCOLATE SIGN,0.01449165402124431,0.41748633879781416,7.7718502053039416
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SPACEBOY DESIGN,0.01874051593323217,0.5594563986409966,7.753559762448302
JUMBO BAG APPLES,JUMBO BAG PINK POLKADOT,0.013239757207890744,0.3979475484606613,7.6512745276608545
LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,0.016350531107739,0.4767699115044248,7.644558921688953
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.041350531107739,0.554143365531266,7.5333775736999335
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.041350531107739,0.5621454357916452,7.5333775736999335
METAL SIGN TAKE IT OR LEAVE IT,COOK WITH WINE METAL SIGN,0.011342943854324734,0.3784810126582278,7.506967263860711
HAND OVER THE CHOCOLATE SIGN,COOK WITH WINE METAL SIGN,0.020182094081942336,0.3757062146892655,7.451930638983476
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE SIGN,0.020182094081942336,0.400300978179082,7.451930638983476
SCANDINAVIAN REDS RIBBONS,6 RIBBONS RUSTIC CHARM,0.013315629742033383,0.4371108343711083,7.443308523270294
RETROSPOT HEART HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.014415781487101669,0.4434072345390898,7.39760424205722
JAM MAKING SET WITH JARS,SET OF 3 CAKE TINS PANTRY DESIGN,0.012936267071320182,0.33662388943731486,7.388347814794022
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG PINK POLKADOT,0.011115326251896814,0.33182332955832394,7.362679265284022
JUMBO BAG TOYS,JUMBO BAG SPACEBOY DESIGN,0.011911987860394537,0.31462925851703405,7.345994025251565
CHARLOTTE BAG PINK POLKADOT,LUNCH BAG PINK POLKADOT,0.010053110773899848,0.3251533742331288,7.214682613455619
PACK OF 60 DINOSAUR CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.023254931714719273,0.5252784918594688,7.177989137073924
60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.023254931714719273,0.31778123379989637,7.177989137073924
WOODEN BOX OF DOMINOES,VINTAGE HEADS AND TAILS CARD GAME,0.01248103186646434,0.3212890625,7.146987078059072
SUKI SHOULDER BAG,CHARLOTTE BAG SUKI DESIGN,0.013770864946889226,0.421602787456446,7.105786110838822
SUKI SHOULDER BAG,RED TOADSTOOL LED NIGHT LIGHT,0.009939301972685888,0.30429732868757264,7.104763139242174
METAL SIGN TAKE IT OR LEAVE IT,GIN TONIC DIET METAL SIGN,0.01236722306525038,0.41265822784810124,7.0496894919481194
JUMBO BAG SPACEBOY DESIGN,JUMBO BAG WOODLAND ANIMALS,0.013619119878603946,0.3179805137289637,7.020072313145295
JUMBO BAG WOODLAND ANIMALS,JUMBO BAG SPACEBOY DESIGN,0.013619119878603946,0.30067001675041877,7.020072313145295
JUMBO STORAGE BAG SKULLS,JUMBO BAG SPACEBOY DESIGN,0.01452959028831563,0.3003921568627451,7.0135848139078485
JUMBO BAG SPACEBOY DESIGN,JUMBO STORAGE BAG SKULLS,0.01452959028831563,0.3392382639503986,7.013584813907848
JUMBO BAG WOODLAND ANIMALS,JUMBO BAG PINK POLKADOT,0.016502276176024278,0.364321608040201,7.004753893464404
JUMBO BAG PINK POLKADOT,JUMBO BAG WOODLAND ANIMALS,0.016502276176024278,0.3172866520787746,7.004753893464404
BEWARE OF THE CAT METAL SIGN,COOK WITH WINE METAL SIGN,0.012063732928679818,0.34945054945054943,6.931163644481928
WOODEN BOX OF DOMINOES,VINTAGE SNAP CARDS,0.017754172989377846,0.45703125,6.899967783505154
72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.025455235204855844,0.5045112781954888,6.894202847710257
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.025455235204855844,0.34784862623120794,6.894202847710257
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.032018209408194234,0.4277749619868221,6.875699998763799
LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.032018209408194234,0.5146341463414634,6.875699998763799
JUMBO BAG TOYS,JUMBO BAG OWLS,0.012025796661608497,0.31763527054108215,6.834992433847287
JUMBO STORAGE BAG SKULLS,JUMBO BAG WOODLAND ANIMALS,0.014946889226100152,0.30901960784313726,6.822241928597235
JUMBO BAG WOODLAND ANIMALS,JUMBO STORAGE BAG SKULLS,0.014946889226100152,0.32998324958123953,6.822241928597235
JUMBO BAG APPLES,JUMBO BAG WOODLAND ANIMALS,0.01024279210925645,0.30786773090079816,6.796811881528509
JAM MAKING SET PRINTED,SET OF 3 CAKE TINS PANTRY DESIGN,0.011911987860394537,0.30935960591133005,6.789941058969743
PACK OF 60 SPACEBOY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.017602427921092564,0.4962566844919786,6.781402904721905
CHOCOLATE THIS WAY METAL SIGN,GIN TONIC DIET METAL SIGN,0.013770864946889226,0.3967213114754098,6.77742953369527
SUKI SHOULDER BAG,WOODLAND CHARLOTTE BAG,0.010470409711684371,0.32055749128919864,6.765328639217995
CHARLOTTE BAG PINK POLKADOT,PACK OF 72 RETROSPOT CAKE CASES,0.011570561456752655,0.3742331288343558,6.742847078655926
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG RED RETROSPOT,0.014074355083459788,0.420158550396376,6.73684877642851
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.020257966616084977,0.45758354755784064,6.7347304933694465
BEWARE OF THE CAT METAL SIGN,GIN TONIC DIET METAL SIGN,0.013429438543247345,0.38901098901098896,6.6457094428578545
CHARLOTTE BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.012784522003034902,0.4134969325153374,6.630035973907722
GIN TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE SIGN,0.02078907435508346,0.35515230071289694,6.6114510217457365
HAND OVER THE CHOCOLATE SIGN,GIN TONIC DIET METAL SIGN,0.02078907435508346,0.3870056497175141,6.6114510217457365
NO SINGING METAL SIGN,HAND OVER THE CHOCOLATE SIGN,0.014984825493171473,0.35457809694793535,6.600761748268062
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.0374051593323217,0.5173137460650578,6.597189330563582
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.0374051593323217,0.47701983551040156,6.597189330563581
METAL SIGN TAKE IT OR LEAVE IT,HAND OVER THE CHOCOLATE SIGN,0.01054628224582701,0.3518987341772152,6.550883215332904
CHOCOLATE THIS WAY METAL SIGN,COOK WITH WINE METAL SIGN,0.011456752655538695,0.33005464480874314,6.5464563108792095
PACK OF 60 SPACEBOY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.011684370257966616,0.32941176470588235,6.528792569659442
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.022344461305007588,0.4428571428571429,6.51798675919279
PACK OF 60 PINK PAISLEY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.022344461305007588,0.3288665549972083,6.51798675919279
SUKI SHOULDER BAG,RECYCLING BAG RETROSPOT,0.011608497723823975,0.3554006968641115,6.46539846055071
JUMBO BAG TOYS,JUMBO STORAGE BAG SKULLS,0.011798179059180576,0.31162324649298595,6.442657864749106
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.03175265553869499,0.43390357698289267,6.386207866705221
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.03175265553869499,0.4673366834170854,6.386207866705221
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG WOODLAND,0.013467374810318665,0.40203850509626277,6.376495183115215
LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,0.02052352048558422,0.4553872053872054,6.364796783672712
WICKER STAR,HEART OF WICKER LARGE,0.01456752655538695,0.4593301435406699,6.352540705001081
JUMBO BAG SPACEBOY DESIGN,JUMBO BAG PINK POLKADOT,0.014150227617602427,0.33038086802480066,6.35218065728209
